STUDENTID,NAME,CHEMISTRY,CHINESE,ENGLISH,MATHS,PHYSICS,CLASS
S01,Alice Lim,80,90,59,97,60,C1
S02,Beth Low,90,56,80,64,82,C1
S03,Che Ho,52,89,63,78,95,C1
S04,Don Poh,88,55,78,43,61,C1
S05,Evans King,87,63,82,78,89,C1
S06,French Koh,99,81,75,82,96,C1
S07,George Ee,78,52,96,35,78,C1
S08,Hogan Ash,96,63,87,94,56,C1
S09,Indie Li,85,78,96,48,69,C1
S10,Joe Sin,82,41,37,83,76,C1
S11,King Hock,76,97,95,60,78,C2
S12,Lion Lim,78,64,61,82,96,C2
S13,Man Soh,51,78,89,95,85,C2
S14,Nin Non,92,43,96,61,82,C2
S15,Olly Loh,91,78,78,89,76,C2
S16,Peon Sim,63,61,80,78,78,C2
S17,Qu Lin,89,89,90,56,51,C2
S18,Ron Tan,52,96,52,69,92,C2
S19,Sim C,52,76,88,76,91,C2
S20,Tim Foo,19,78,87,78,63,C2
S21,Ur Ler,90,51,99,96,51,C3
S22,Vince Cer,56,92,78,37,92,C3
S23,Win Ning,89,91,96,95,91,C3
S24,Xi Ping,55,63,85,61,63,C3
S25,Yin Yin,63,89,97,89,89,C3
S26,Zoe Lim,81,52,64,96,52,C3
S27,Apple Man,52,52,78,78,63,C3
S28,Bin Ni,63,63,43,80,89,C3
S29,Cathy Ho,78,89,78,78,52,C3
S30,Dean Lee,41,52,78,56,52,C3
